LocalDate,CloudCover,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/21/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/22/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/21/2011,clear,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,1/4 of sky,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/23/2011,1/2 of sky,,,,,,,,,,,
2/22/2011,clear,,,,,,,,,,,
2/23/2011,over 1/2 of sky,,,,,,,,,,,
2/22/2011,1/2 of sky,,,,,,,,,,,
